City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
santa maria da boa vista,8,BR,1552784485,41,-8.8,-39.83,299.038,4.01
bambous virieux,75,MU,1552784348,94,-20.34,57.76,299.15,3.1
pangnirtung,0,CA,1552784489,51,66.15,-65.72,249.788,1.46
bronnoysund,0,NO,1552784401,96,65.46,12.2,274.26,6.2
taoudenni,0,ML,1552784493,18,22.68,-3.98,289.388,3.91
norman wells,40,CA,1552780800,35,65.28,-126.83,279.15,8.7
saint-georges,76,CA,1552783634,68,46.12,-70.67,269.26,3.13
nkhata bay,0,MW,1552784505,97,-11.61,34.3,293.388,0.46
muros,90,ES,1552784496,87,42.77,-9.06,285.37,4.1
flinders,75,AU,1552784454,77,-34.58,150.85,295.37,6.7
na wa,12,TH,1552780800,78,17.49,104.1,297.15,3.1
booue,48,GA,1552784513,99,-0.09,11.94,295.238,0.61
kaeo,68,NZ,1552783085,77,-35.1,173.78,295.37,1.79
cherskiy,20,RU,1552784287,48,68.75,161.3,246.188,1.11
fort nelson,75,CA,1552780800,28,58.81,-122.69,281.15,1.0
rio gallegos,90,AR,1552780800,87,-51.62,-69.22,289.15,2.1
ponta do sol,88,BR,1552784526,88,-20.63,-46.0,294.838,2.11
krasnaya gora,90,RU,1552780800,93,53.01,31.6,276.15,3.0
altamira,20,BR,1552784530,76,-3.2,-52.21,300.813,2.01
qaqortoq,92,GL,1552780200,98,60.72,-46.03,273.15,9.3
tupiza,0,BO,1552784534,10,-21.44,-65.72,284.063,3.01
kozhva,32,RU,1552784537,91,65.11,57.05,265.888,3.46
glencoe,0,ZA,1552784539,94,-28.17,30.16,285.238,1.16
asyut,0,EG,1552780800,66,27.18,31.19,284.15,5.1
airai,92,TL,1552784543,96,-8.93,125.41,293.663,0.71
tartagal,68,AR,1552784300,76,-22.52,-63.8,298.038,3.66
quballat,0,TN,1552782600,66,36.54,9.66,285.15,1.5
batagay-alyta,12,RU,1552784549,31,67.8,130.41,242.438,1.46
camocim,100,BR,1552784414,96,-2.9,-40.84,298.438,3.11
umm kaddadah,48,SD,1552784553,14,13.6,26.69,291.713,5.71
lipin bor,80,RU,1552784558,92,60.26,37.97,270.438,4.46
laives,0,FR,1552784522,81,46.65,4.85,282.59,3.6
kaitangata,0,NZ,1552784179,76,-46.28,169.85,289.26,3.58
deputatskiy,36,RU,1552784564,44,69.3,139.9,246.313,1.31
russell,75,AR,1552780800,77,-33.01,-68.8,288.15,6.2
listvyanskiy,68,RU,1552784570,88,54.44,83.49,266.163,4.01
tombouctou,0,ML,1552784572,29,16.77,-3.01,295.688,3.46
fomboni,0,KM,1552784575,100,-12.28,43.74,301.063,0.66
vila velha,20,BR,1552784400,69,-3.71,-38.6,297.15,2.1
coihaique,0,CL,1552780800,51,-45.58,-72.07,289.15,8.7
yermakovskoye,92,RU,1552784585,80,53.28,92.4,271.938,2.16
okha,8,RU,1552784587,92,53.59,142.95,266.388,1.71
godfrey,1,US,1552784418,52,38.96,-90.19,283.15,1.31
fond du lac,1,US,1552784524,74,43.77,-88.45,274.15,2.96
srandakan,88,ID,1552784385,100,-7.94,110.25,295.038,1.81
lavrentiya,0,RU,1552784310,100,65.58,-170.99,263.438,6.16
thinadhoo,80,MV,1552784598,100,0.53,72.93,300.488,2.26
coquimbo,90,CL,1552780800,82,-29.95,-71.34,288.15,1.0
tunceli,40,TR,1552780200,100,39.11,39.55,276.15,3.6
bathsheba,40,BB,1552780800,78,13.22,-59.52,299.15,7.7
grootfontein,0,NA,1552784606,42,-19.56,18.1,292.638,3.31
copiapo,0,CL,1552780800,77,-27.37,-70.33,290.15,5.1
kabompo,0,ZM,1552784610,88,-13.6,24.21,292.813,1.76
surt,0,LY,1552784612,100,31.21,16.59,284.913,2.91
mount gambier,40,AU,1552782360,88,-37.83,140.78,292.15,1.0
port hawkesbury,1,CA,1552784576,75,45.62,-61.36,278.15,8.7
todos santos,90,MX,1552784543,68,23.45,-110.23,294.26,4.1
husavik,48,CA,1552784410,84,50.56,-96.99,269.26,2.24
urucara,0,BR,1552784623,89,-2.54,-57.76,299.438,0.81
wanning,0,AT,1552784606,100,48.64,13.53,278.71,0.5
arlit,0,NE,1552784627,54,18.74,7.39,291.813,4.31
kamaishi,75,JP,1552780800,44,39.28,141.86,278.15,2.1
eirunepe,0,BR,1552784632,91,-6.66,-69.87,298.738,0.96
vardo,75,US,1552784621,33,39.62,-77.74,279.26,4.1
hami,0,CN,1552784638,53,42.84,93.51,273.388,3.86
borba,0,PT,1552784640,66,38.81,-7.46,281.463,2.91
aswan,0,EG,1552784467,66,24.09,32.9,284.563,2.66
tibiri,20,NE,1552784644,21,13.59,7.06,299.188,6.51
carnarvon,0,ZA,1552784646,71,-30.97,22.13,288.938,2.11
aklavik,40,CA,1552780800,53,68.22,-135.01,269.15,4.1
kilindoni,36,TZ,1552784651,100,-7.91,39.67,300.488,2.76
lazaro cardenas,40,MX,1552784613,29,28.39,-105.62,290.15,4.6
provideniya,0,RU,1552784655,100,64.42,-173.23,266.063,6.16
port-gentil,80,GA,1552784657,100,-0.72,8.78,299.913,2.61
vestmannaeyjar,0,IS,1552784659,94,63.44,-20.27,276.138,5.96
moose factory,90,CA,1552780800,72,51.26,-80.61,262.15,5.7
trofors,0,NO,1552783800,74,65.54,13.39,273.15,6.2
sao filipe,0,CV,1552784666,90,14.9,-24.5,295.588,5.36
jaru,20,BR,1552784670,95,-10.43,-62.48,297.463,0.76
litovko,0,RU,1552784672,63,49.24,135.18,270.688,1.41
ayolas,100,PY,1552784674,100,-27.39,-56.84,294.213,4.56
mayo,90,CA,1552780800,48,63.59,-135.9,278.15,4.6
zeya,36,RU,1552784678,74,53.74,127.27,266.213,1.01
esperance,20,TT,1552784537,78,10.24,-61.45,299.15,3.1
ojinaga,1,US,1552784479,23,29.56,-104.41,290.15,6.2
vanimo,76,PG,1552784685,100,-2.67,141.3,299.988,4.06
portland,75,US,1552784557,41,45.52,-122.67,290.37,3.6
verkhnevilyuysk,64,RU,1552784691,63,63.45,120.31,257.238,3.01
bubaque,0,GW,1552784693,86,11.28,-15.83,300.238,6.61
bilma,0,NE,1552784696,16,18.69,12.92,289.713,3.91
victoria,75,BN,1552782600,78,5.28,115.24,301.15,3.6
ronda,24,PH,1552784700,100,10.0,123.41,297.738,4.06
port hardy,90,CA,1552780800,66,50.7,-127.42,284.15,6.2
stromness,90,CA,1552784701,92,42.87,-79.55,272.59,4.6
kharan,0,PK,1552784709,71,28.58,65.42,282.088,1.21
kupang,90,ID,1552782600,88,-10.16,123.6,298.15,2.1
